timestamp,memory_used_mib,memory_total_mib,power_draw_w,temperature_c,gpu_util_pct
1773559177.534858917,7544, 8188, 13.35, 45, 0
1773559178.736012416,7538, 8188, 21.04, 50, 100
1773559179.936551035,7538, 8188, 49.12, 51, 100
1773559181.140781396,7538, 8188, 49.33, 52, 100
1773559182.338743003,7538, 8188, 49.58, 53, 100
1773559183.545384771,7538, 8188, 49.63, 53, 99
1773559184.742189618,7538, 8188, 49.82, 54, 100
1773559185.944740036,7538, 8188, 49.83, 55, 100
1773559187.141689810,7538, 8188, 49.85, 55, 100
1773559188.336909610,7538, 8188, 50.04, 56, 100
1773559189.536571574,7538, 8188, 50.52, 56, 98
1773559190.741932979,7538, 8188, 50.63, 57, 100
1773559191.942159000,7538, 8188, 50.73, 57, 100
1773559193.145832023,7538, 8188, 50.83, 58, 100
1773559194.348727602,7538, 8188, 50.90, 58, 100
1773559195.553561834,7538, 8188, 50.98, 58, 100
1773559196.746803746,7538, 8188, 51.10, 59, 100
1773559197.948844668,7538, 8188, 51.14, 59, 100
1773559199.146724979,7538, 8188, 47.24, 56, 0
1773559200.362692140,7538, 8188, 24.31, 58, 100
1773559201.574352448,7542, 8188, 47.62, 60, 100
