timestamp,memory_used_mib,memory_total_mib,power_draw_w,temperature_c,gpu_util_pct
1773559241.993771594,7544, 8188, 33.97, 61, 0
1773559243.192394573,7548, 8188, 26.00, 63, 99
1773559244.399516841,7548, 8188, 42.51, 63, 99
1773559245.596693180,7548, 8188, 40.83, 63, 100
1773559246.785456664,7726, 8188, 38.58, 64, 100
1773559247.986369148,7714, 8188, 42.69, 63, 100
1773559249.192822687,7714, 8188, 41.48, 63, 100
1773559250.388397267,7714, 8188, 38.01, 63, 100
1773559251.583763210,7714, 8188, 43.80, 64, 100
1773559252.784488060,7714, 8188, 41.72, 64, 100
1773559253.987526952,7714, 8188, 38.42, 63, 100
1773559255.182368796,7714, 8188, 43.16, 64, 100
1773559256.395979474,7714, 8188, 41.81, 64, 100
1773559257.594174655,7714, 8188, 38.40, 64, 100
1773559258.797851009,7714, 8188, 43.59, 64, 100
1773559259.991575153,7714, 8188, 41.79, 64, 100
1773559261.195627409,7714, 8188, 38.59, 64, 100
1773559262.394413932,7714, 8188, 43.83, 65, 100
1773559263.598987380,7714, 8188, 41.44, 64, 100
1773559264.800557760,7714, 8188, 36.73, 63, 18
