timestamp,memory_used_mib,memory_total_mib,power_draw_w,temperature_c,gpu_util_pct
1773559199.183258427,7538, 8188, 47.24, 56, 0
1773559200.385247899,7538, 8188, 24.31, 58, 100
1773559201.592371419,7542, 8188, 47.62, 60, 100
1773559202.784497818,7542, 8188, 45.00, 59, 100
1773559203.978851106,7542, 8188, 42.43, 59, 100
1773559205.175156590,7542, 8188, 46.49, 60, 100
1773559206.371583555,7542, 8188, 44.26, 60, 100
1773559207.574990234,7542, 8188, 43.29, 61, 100
1773559208.770329884,7542, 8188, 45.77, 61, 100
1773559210.113262557,7542, 8188, 42.77, 61, 100
1773559211.308833393,7542, 8188, 46.53, 62, 100
1773559212.510756656,7542, 8188, 43.98, 62, 100
1773559213.704095588,7542, 8188, 44.70, 62, 100
1773559214.904994530,7542, 8188, 44.88, 62, 100
1773559216.099716476,7542, 8188, 45.46, 63, 100
1773559217.302910189,7542, 8188, 44.53, 62, 100
1773559218.503028547,7542, 8188, 45.90, 63, 100
1773559219.699947242,7542, 8188, 44.28, 63, 100
1773559220.893202454,7542, 8188, 30.43, 59, 0
1773559222.089626769,7544, 8188, 29.28, 61, 100
1773559223.285565809,7544, 8188, 40.68, 61, 100
