
NOTICE: Existing SQLite export found: /tmp/nsys-yoga-serve-c16.sqlite
        It is assumed file was previously exported from: /tmp/nsys-yoga-serve-c16.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/nsys-yoga-serve-c16.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     47.8    8,324,458,097    224,867     37,019.5     15,232.0      3,968     83,039     32,622.0  batched_hw_dp4a_q4k_gemv                                                                            
     24.5    4,270,730,361     37,479    113,950.0    114,720.0     39,168    186,304     30,158.4  batched_incremental_attention                                                                       
      8.8    1,537,373,691      1,450  1,060,257.7  1,121,597.0    324,607  1,124,702    212,485.0  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize64x128x64_stage4_warpsize2x2x1_tensor16x8x32_bias_f…
      8.4    1,455,776,826     40,283     36,138.7     16,864.0      6,176     93,599     30,780.6  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize32x64x64_stage5_warpsize2x2x1_tensor16x8x32_bias_f1…
      1.6      285,412,461    149,914      1,903.8      1,696.0      1,472     15,232        559.9  q8_quantize                                                                                         
      1.6      283,618,002     77,807      3,645.1      3,584.0      3,423     18,208        398.2  batched_rmsnorm_vectorized                                                                          
      0.8      142,827,805      1,400    102,019.9    102,112.0     92,256    106,112      1,623.0  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize128x128x64_stage3_warpsize4x2x1_tensor16x8x32_bias_…
      0.7      126,150,924     42,041      3,000.7      2,336.0      1,599  4,397,653     24,796.5  absmax_reduce                                                                                       
      0.6      102,379,647     76,468      1,338.9      1,216.0      1,151     32,864      1,167.2  batched_residual_add                                                                                
      0.6      102,166,236     76,470      1,336.0      1,312.0      1,215      3,680        166.6  batched_bias_broadcast_add_256                                                                      
      0.6       98,167,995     44,112      2,225.4      1,184.0      1,119     64,192      4,194.6  f16_to_f32_act_scaled                                                                               
      0.6       96,676,374     41,844      2,310.4      1,760.0      1,407     85,344      4,119.0  f32_to_e4m3_device_scaled                                                                           
      0.5       90,895,590     38,234      2,377.3      1,727.0      1,503    234,399      8,993.3  batched_swiglu                                                                                      
      0.5       85,618,634     74,958      1,142.2      1,121.0      1,087      3,616         85.4  batched_kv_cache_scatter                                                                            
      0.4       74,912,518        756     99,090.6     81,920.0     81,312    313,983     60,664.4  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize64x64x64_stage6_warpsize2x2x1_tensor16x8x32_bias_f1…
      0.3       56,338,298     38,235      1,473.5      1,376.0      1,311     11,169        512.1  batched_bias_broadcast_add_1536                                                                     
      0.3       51,235,789     38,235      1,340.0      1,248.0      1,183      9,856        445.1  batched_rope_neox_12_128                                                                            
      0.3       44,562,359     38,235      1,165.5      1,152.0      1,119      3,488        127.6  batched_rope_neox_2_128                                                                             
      0.2       34,727,432        197    176,281.4     37,599.0      7,232  5,736,337    423,768.1  f32_to_e4m3_scaled                                                                                  
      0.2       34,132,398      1,848     18,469.9     18,400.0     18,239     19,680        140.3  ampere_sgemm_128x128_tn                                                                             
      0.2       33,808,160      1,848     18,294.5     18,272.0     18,143     19,072         77.7  ampere_sgemm_128x128_nn                                                                             
      0.2       29,309,902      5,469      5,359.3      5,248.0      5,151      7,808        338.1  argmax_block_reduce                                                                                 
      0.1       25,863,617        168    153,950.1     40,464.0      7,712    346,719    152,534.0  q4k_dequant_to_f32                                                                                  
      0.1       10,267,494         29    354,051.5    323,648.0      7,168  5,604,529  1,022,263.5  q6k_dequant_to_f32                                                                                  
      0.1        9,989,816      5,469      1,826.6      1,792.0      1,728      2,400         91.2  argmax_final_reduce                                                                                 
      0.0        8,273,193        224     36,933.9     37,167.5     16,416     57,856     20,125.4  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x32_bias_f1…
      0.0        5,993,886        924      6,486.9      6,464.0      6,240      7,456        121.1  causal_mask_softmax                                                                                 
      0.0        1,556,810        924      1,684.9      1,664.0      1,631      2,688         89.9  scatter_packed_kv                                                                                   
      0.0        1,127,581          1  1,127,581.0  1,127,581.0  1,127,581  1,127,581          0.0  hw_dp4a_q6k_gemv                                                                                    
      0.0            3,840          1      3,840.0      3,840.0      3,840      3,840          0.0  rmsnorm_vectorized                                                                                  

