timestamp,memory_used_mib,memory_total_mib,power_draw_w,temperature_c,gpu_util_pct
1773559964.824096376,7640, 8188, 15.35, 61, 0
1773559966.013633682,7640, 8188, 15.25, 60, 0
1773559967.218807880,7640, 8188, 23.96, 65, 100
1773559968.426884178,7640, 8188, 50.60, 66, 100
1773559969.638095667,7640, 8188, 50.59, 66, 100
1773559970.837965361,7640, 8188, 50.54, 67, 100
1773559972.029478153,7640, 8188, 50.75, 67, 100
1773559973.241651701,7640, 8188, 50.90, 67, 100
1773559974.437300300,7640, 8188, 50.84, 68, 100
1773559975.640165229,7640, 8188, 50.97, 68, 100
1773559976.849802489,7640, 8188, 50.96, 69, 100
1773559978.053236232,7640, 8188, 50.88, 69, 100
1773559979.254291000,7640, 8188, 51.27, 69, 100
1773559980.466986289,7640, 8188, 51.21, 69, 100
1773559981.674738676,7640, 8188, 51.14, 70, 100
1773559982.870062015,7640, 8188, 51.26, 70, 100
1773559984.071616196,7640, 8188, 51.40, 71, 100
1773559985.271594505,7640, 8188, 51.53, 71, 100
1773559986.481988854,7640, 8188, 51.27, 71, 100
1773559987.688213781,7640, 8188, 50.55, 70, 100
1773559988.893910231,7640, 8188, 32.26, 66, 0
1773559990.096468679,7640, 8188, 19.87, 66, 0
1773559991.292435002,7640, 8188, 15.80, 65, 0
1773559992.491997404,7640, 8188, 15.75, 64, 0
1773559993.687356372,7640, 8188, 15.68, 64, 0
