timestamp,memory_used_mib,memory_total_mib,power_draw_w,temperature_c,gpu_util_pct
1773559871.399883469,7640, 8188, 14.00, 48, 0
1773559872.590564471,7640, 8188, 13.98, 48, 0
1773559873.790215613,7640, 8188, 23.12, 52, 100
1773559874.995102824,7640, 8188, 47.89, 54, 100
1773559876.196842869,7640, 8188, 48.26, 54, 100
1773559877.396485636,7640, 8188, 48.41, 55, 100
1773559878.604082429,7640, 8188, 48.48, 56, 100
1773559879.810682998,7640, 8188, 48.63, 56, 94
1773559881.022149845,7640, 8188, 48.69, 57, 94
1773559882.227869246,7640, 8188, 48.60, 58, 100
1773559883.439137849,7640, 8188, 48.88, 58, 100
1773559884.642561324,7640, 8188, 48.97, 58, 100
1773559885.843472984,7640, 8188, 49.02, 59, 100
1773559887.047912489,7640, 8188, 49.28, 59, 100
1773559888.257126894,7640, 8188, 48.95, 60, 100
1773559889.457270169,7640, 8188, 49.21, 60, 100
1773559890.670727363,7640, 8188, 49.24, 61, 100
1773559891.882555095,7640, 8188, 49.32, 61, 100
1773559893.083014515,7640, 8188, 49.16, 61, 94
1773559894.293530849,7640, 8188, 33.90, 57, 0
1773559895.492700112,7640, 8188, 21.31, 57, 0
1773559896.685408280,7640, 8188, 14.79, 56, 0
1773559897.874814899,7640, 8188, 14.73, 56, 0
1773559899.072800369,7640, 8188, 14.67, 55, 0
1773559900.268207604,7640, 8188, 14.64, 55, 0
