timestamp,memory_used_mib,memory_total_mib,power_draw_w,temperature_c,gpu_util_pct
1773559620.144436055,1466, 8188, 15.09, 59, 0
1773559621.343360115,1466, 8188, 15.10, 59, 0
1773559622.544114205,1470, 8188, 26.75, 65, 91
1773559623.748132650,1470, 8188, 53.10, 66, 92
1773559624.945814644,1470, 8188, 53.23, 67, 93
1773559626.146817550,1470, 8188, 53.26, 67, 93
1773559627.345360803,1470, 8188, 53.29, 68, 92
1773559628.552761755,1470, 8188, 53.30, 68, 92
1773559629.755178478,1470, 8188, 52.80, 68, 92
1773559630.963261448,1470, 8188, 52.18, 69, 92
1773559632.164555291,1470, 8188, 52.15, 69, 92
1773559633.359873007,1470, 8188, 52.18, 69, 92
1773559634.563758204,1470, 8188, 52.31, 70, 92
1773559635.758869544,1470, 8188, 52.37, 70, 92
1773559636.971992878,1470, 8188, 52.46, 70, 92
1773559638.177233714,1470, 8188, 52.47, 71, 92
1773559639.376766327,1470, 8188, 52.51, 70, 92
1773559640.574068783,1470, 8188, 52.22, 71, 92
1773559641.771045470,1470, 8188, 52.38, 71, 93
1773559642.969591943,1470, 8188, 37.25, 65, 0
1773559644.164190252,1470, 8188, 20.64, 64, 0
1773559645.360720335,1470, 8188, 15.75, 64, 0
1773559646.550883369,1470, 8188, 15.61, 63, 0
1773559647.761187313,1470, 8188, 15.54, 62, 0
1773559648.953980198,1470, 8188, 15.50, 62, 0
