Generating SQLite file /tmp/nsys-yoga-vllm-c16-20260316.sqlite from /tmp/nsys-yoga-vllm-c16-20260316.nsys-rep
Processing [/tmp/nsys-yoga-vllm-c16-20260316.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     85.0    2,335,442,274      1,062  2,199,098.2  2,202,485.0  2,153,493  2,221,332     11,719.8  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x1_tn_align8>(T1::Param…
     11.7      321,974,992      2,632    122,330.9    122,688.0    106,815    136,927      5,844.3  void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (…
      1.4       39,488,328      1,067     37,008.7     40,736.0      4,160     41,568      8,542.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.9       25,417,117      1,067     23,821.1     25,408.0      7,584     26,240      4,052.1  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<…
      0.4       10,695,752          5  2,139,150.4  2,138,997.0  2,138,549  2,139,669        476.6  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (b…
      0.2        5,634,949      2,632      2,140.9      2,144.0      1,824      2,401         48.8  void vllm::reshape_and_cache_flash_kernel<unsigned short, unsigned short, (vllm::Fp8KVCacheDataType…
      0.1        2,284,090      1,067      2,140.7      2,144.0      1,696      2,336        132.5  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1        1,943,877      1,062      1,830.4      1,824.0      1,535      2,112        110.7  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.1        1,867,002      1,067      1,749.8      1,760.0      1,536      1,952         58.8  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0        1,254,640      1,067      1,175.9      1,184.0      1,151      1,343         19.4  void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<cha…
      0.0          327,773        289      1,134.2      1,120.0      1,056      1,185         27.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
      0.0          312,251        105      2,973.8      2,976.0      2,816      3,136         57.2  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0          308,344        296      1,041.7      1,056.0      1,023      1,088         16.6  void at::native::unrolled_elementwise_kernel<at::native::FillFunctor<long>, std::array<char *, (uns…
      0.0          243,324        105      2,317.4      2,304.0      2,176      2,496         51.7  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.0           97,665         87      1,122.6      1,120.0      1,088      1,153         16.3  void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<ch…
      0.0           21,282          5      4,256.4      4,256.0      4,224      4,289         32.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …

