
NOTICE: Existing SQLite export found: /tmp/nsys-yoga-serve-c8.sqlite
        It is assumed file was previously exported from: /tmp/nsys-yoga-serve-c8.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/nsys-yoga-serve-c8.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     47.5    3,083,497,936     83,301     37,016.3     15,232.0      4,032     82,528     32,621.4  batched_hw_dp4a_q4k_gemv                                                                            
     24.5    1,589,414,196     13,884    114,478.1    114,752.0     39,168    187,327     31,687.0  batched_incremental_attention                                                                       
      8.8      573,449,667        551  1,040,743.5  1,121,438.0    324,767  1,123,774    240,541.8  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize64x128x64_stage4_warpsize2x2x1_tensor16x8x32_bias_f…
      8.2      533,438,391     14,557     36,644.8     17,632.0      6,175     91,968     30,946.2  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize32x64x64_stage5_warpsize2x2x1_tensor16x8x32_bias_f1…
      1.6      105,710,941     55,536      1,903.5      1,696.0      1,504      5,280        558.1  q8_quantize                                                                                         
      1.6      104,367,509     28,655      3,642.2      3,584.0      3,424     18,176        428.2  batched_rmsnorm_vectorized                                                                          
      1.0       63,539,235     15,360      4,136.7      2,336.0      1,599  4,383,511     40,842.3  absmax_reduce                                                                                       
      0.6       37,666,744     28,160      1,337.6      1,312.0      1,215     10,239        182.5  batched_bias_broadcast_add_256                                                                      
      0.6       37,124,450     28,159      1,318.4      1,216.0      1,151     33,024      1,205.1  batched_residual_add                                                                                
      0.5       34,732,243        197    176,305.8     37,568.0      7,232  5,744,084    424,285.7  f32_to_e4m3_scaled                                                                                  
      0.5       34,268,953        336    101,990.9    102,080.0     92,192    104,800      1,665.4  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize128x128x64_stage3_warpsize4x2x1_tensor16x8x32_bias_…
      0.5       33,830,749     15,751      2,147.8      1,184.0      1,119     63,936      4,469.8  f16_to_f32_act_scaled                                                                               
      0.5       33,746,188     14,079      2,396.9      1,727.0      1,503    236,607     10,314.7  batched_swiglu                                                                                      
      0.5       33,374,562     15,163      2,201.1      1,759.0      1,407     85,344      4,284.9  f32_to_e4m3_device_scaled                                                                           
      0.5       31,702,105     27,768      1,141.7      1,121.0      1,087      3,136         79.2  batched_kv_cache_scatter                                                                            
      0.4       25,854,250        168    153,894.3     40,512.0      7,712    346,623    152,486.0  q4k_dequant_to_f32                                                                                  
      0.3       22,553,707        196    115,069.9     82,064.0     81,504    314,047     81,195.9  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize64x64x64_stage6_warpsize2x2x1_tensor16x8x32_bias_f1…
      0.3       20,533,969     14,080      1,458.4      1,376.0      1,311     11,168        514.2  batched_bias_broadcast_add_1536                                                                     
      0.3       18,757,392     14,080      1,332.2      1,248.0      1,183      9,856        456.2  batched_rope_neox_12_128                                                                            
      0.3       16,399,880     14,080      1,164.8      1,152.0      1,119      3,456        130.7  batched_rope_neox_2_128                                                                             
      0.2       11,385,070      2,097      5,429.2      5,248.0      5,152      7,808        497.5  argmax_block_reduce                                                                                 
      0.2       10,453,385         29    360,461.6    323,711.0      7,008  5,796,051  1,057,427.2  q6k_dequant_to_f32                                                                                  
      0.2       10,332,799        560     18,451.4     18,400.0     18,240     18,848        130.3  ampere_sgemm_128x128_tn                                                                             
      0.2       10,241,808        560     18,288.9     18,272.0     18,144     19,488         86.9  ampere_sgemm_128x128_nn                                                                             
      0.1        4,138,357        112     36,949.6     37,152.0     16,416     57,568     20,136.6  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x32_bias_f1…
      0.1        3,860,291      2,097      1,840.9      1,792.0      1,759      2,401        117.8  argmax_final_reduce                                                                                 
      0.0        1,814,715        280      6,481.1      6,464.0      6,207      7,264        124.8  causal_mask_softmax                                                                                 
      0.0        1,124,958          1  1,124,958.0  1,124,958.0  1,124,958  1,124,958          0.0  hw_dp4a_q6k_gemv                                                                                    
      0.0          481,307        280      1,719.0      1,664.0      1,631      2,528        150.9  scatter_packed_kv                                                                                   
      0.0            3,808          1      3,808.0      3,808.0      3,808      3,808          0.0  rmsnorm_vectorized                                                                                  

