timestamp,memory_used_mib,memory_total_mib,power_draw_w,temperature_c,gpu_util_pct
1773559650.718442213,1470, 8188, 15.40, 61, 0
1773559651.913195108,1470, 8188, 15.37, 61, 0
1773559653.111564101,1472, 8188, 27.17, 67, 90
1773559654.309270256,1472, 8188, 52.27, 69, 91
1773559655.513415585,1472, 8188, 52.34, 69, 87
1773559656.724594518,1472, 8188, 52.53, 70, 90
1773559657.924142656,1472, 8188, 52.47, 70, 91
1773559659.138931581,1472, 8188, 52.55, 70, 89
1773559660.344718495,1472, 8188, 52.61, 71, 90
1773559661.544001062,1472, 8188, 52.62, 71, 91
1773559662.743333057,1472, 8188, 52.45, 72, 90
1773559663.945342432,1472, 8188, 52.59, 71, 87
1773559665.146615077,1472, 8188, 52.67, 73, 92
1773559666.347646912,1472, 8188, 52.76, 72, 91
1773559667.554369029,1472, 8188, 52.80, 73, 88
1773559668.756018142,1472, 8188, 52.86, 73, 87
1773559669.969592381,1472, 8188, 53.14, 73, 89
1773559671.169864119,1472, 8188, 52.93, 74, 89
1773559672.370454493,1472, 8188, 53.21, 74, 91
1773559673.563908865,1472, 8188, 41.17, 68, 0
1773559674.759901526,1472, 8188, 20.29, 67, 0
1773559675.970197967,1472, 8188, 15.73, 66, 0
1773559677.173937363,1472, 8188, 15.76, 65, 0
1773559678.378795222,1472, 8188, 15.68, 64, 0
1773559679.582948419,1472, 8188, 15.57, 64, 0
