timestamp,memory_used_mib,memory_total_mib,power_draw_w,temperature_c,gpu_util_pct
1773559681.385164034,1472, 8188, 15.48, 63, 0
1773559682.581011487,1472, 8188, 15.46, 63, 0
1773559683.778377868,1472, 8188, 24.25, 66, 73
1773559684.975316205,1472, 8188, 38.05, 68, 73
1773559686.169550760,1472, 8188, 38.45, 67, 74
1773559687.375176844,1472, 8188, 39.18, 68, 72
1773559688.569476072,1472, 8188, 39.50, 67, 71
1773559689.778463973,1472, 8188, 38.99, 67, 71
1773559690.980770118,1472, 8188, 39.43, 67, 71
1773559692.175164029,1472, 8188, 40.13, 69, 73
1773559693.370744176,1472, 8188, 38.66, 69, 73
1773559694.569870105,1472, 8188, 38.99, 68, 73
1773559695.764034718,1472, 8188, 40.98, 70, 83
1773559696.968728387,1472, 8188, 39.71, 69, 68
1773559698.161248512,1472, 8188, 40.27, 69, 71
1773559699.361252500,1472, 8188, 39.31, 70, 77
1773559700.557165398,1472, 8188, 39.58, 69, 71
1773559701.756428763,1472, 8188, 40.23, 70, 76
1773559702.947718429,1472, 8188, 39.37, 70, 72
1773559704.155047180,1472, 8188, 49.33, 73, 91
1773559705.357421296,1472, 8188, 53.84, 73, 91
1773559706.561312907,1472, 8188, 26.27, 67, 0
1773559707.746877974,1472, 8188, 15.80, 66, 0
1773559708.944734080,1472, 8188, 15.83, 65, 0
1773559710.154501622,1472, 8188, 15.85, 65, 0
